Country ;Crisis Start;;AMC start;; AMC Type;"AMC
/ DF
/ BB";"other
funcs
Y/N";"operating
Y/N";close date;;AMC name;"SOE
/ PRIV";"Pred
Y/N";"Pred 
name";Pred start;;"Sort
of change";AMC website;info1;info2
;mth;year;mth;year;;;;;mth;year;;;;;mth;year;;;;
Turkey;11;2000;;2001;Centralised;AMC;;Y;-;-;Turkish Treasury and the Banking and Supervision Agency (BRSA);SOE;Y;the same;9;2000;law change;http://www.bddk.org.tr/websitesi/English.aspx;"http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=D59441922F6F4081D401388837CCD0FF?doi=10.1.1.199.8963&rep=rep1&type=pdf";
United Kingdom;9;2007;11;2008;Decentralized;AMC;;;;;United Kingdom Financial Investments (UKFI);SOE;N;-;;;;http://www.ukfi.co.uk/;http://en.wikipedia.org/wiki/UK_Financial_Investments_Limited;
United Kingdom;9;2007;1;2010;Decentralized;BB;;Y;-;-;Northern Rock (Asset Management) (NRAM);SOE;N;-;;;;http://www.n-ram.co.uk/;http://en.wikipedia.org/wiki/Northern_Rock_(Asset_Management);
United Kingdom;9;2007;10;2010;Decentralized;AMC;;Y;-;-;UK Asset Resolution Ltd ;SOE;N/Y;NRAM;1;2010;UKAR manages NRAM;http://www.ukar.co.uk/;;
United States;12;2007;3;2008;Decentralized;;;;;;Bear Stearns;;;;;;;;;
United States;12;2007;9;2008;Decentralized;;;;;;Fannie Mae / Freddie Mac;;;;;;;;http://en.wikipedia.org/wiki/Government_intervention_during_the_subprime_mortgage_crisis;
United States;12;2007;9;2008;Decentralized;;;;;;AIG;;;;;;;;;
United States;12;2007;;;Decentralized;;;;;;;;;;;;;;TARP;
United States;;1905;;;;BB;;;;;Resolution Trust Corporation (RTC);;;;;;;;http://ftp.iza.org/pp10.pdf;
Uruguay;1;2002;6;2002;Centralised;stabil fund;Y;;;;Fondo para la Fortificación del Sistema Bancario (FFSB);SOE;N;-;;;;;;
Uruguay;1;2002;8;2002;Centralised;stabil fund;Y;;;;Fund for the Stabilization of the Banking System (FESB);SOE;Y;Fondo para la Fortificación del Sistema Bancario (FFSB);6;2002;extended;;;
Uruguay;1;2002;;2003;Centralised;AMC;?;;;;Fondos de Recuperación de Patrimonio Bancario;SOE;N;-;;;;;;
Vietnam;11;1997;0;2000;(DE)Centralised;;;;;;internal BB for 4 SOCBs;;;;;;;;;
Vietnam;11;1997;6;2003;(DE)Centralised;AMC;NPL of different institutitons (not only banks);Y;-;-;Debt and Asset Trading Corporation (DATC);SOE;N;-;;;;http://www.datc.com.vn/#;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
ADDITIONAL;;;;;;;;;;;;;;;;;;;;
Norway;;;3;1991;decentralized;;;;;;Government Bank Insurance Fund;;;;;;;;http://www.esri.go.jp/jp/workshop/020320/session4_prf_kroszner1.pdf;http://fic.wharton.upenn.edu/fic/papers/98/9805.pdf
Norway;;;11;1991;;;;;;;Government Bank Investment Fund;;;;;;;;;
Hungary;;;0;1992;both;;;;;;Credit Consolidation Fund ;;;;;;;;;
Hungary;;;7;1995;;;;;;1999;Risk Kft;;;;;;;;;
Hungary;;;;1991;;;;Y;;;MBFM Rt;;;;;;;;;
Ukraine;;;;;centralised;;;;;;Bank Recovery Unit (BRU);;;;;;;;;
Spain;;;;;;;;;;;bailout of bankia?;;;;;;;;;
Portugal;;;;;;;;;;;;;;;;;;;;
Chile;;;;;;;;;;;bad loans transfered to CB but but had to buy them back and were responsible for recovering bad loans;;;;;;;;;
Macedonia;;;;1994;;;;Y;;;Bank Rehabilitation Agency (BRA);;;;;;;;;
Poland;;;;;decentralized;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
BANK GUARANTEE SCHEMES / GUARANTEE FUNDS;;;;;;;;;;;;;;;;;;;;;;;
Country;Y/N;mth;year ;name;;other;www;www2;;;;;;;;;;;;;;;
Denmark;Y;;;;;;;;;;;;;;;;;;;;;;
Japan;Y;;;Deposit Insurance Corporation;;;;;;;;;;;;;;;;;;;
Thailand;Y;8;2008;Deposit Protection Agency;;;;;;;;;;;;;;;;;;;
Turkey;Y;7;1983;Savings Deposit Fund Insurance;;governed by BRSA;http://www.tmsf.org.tr/idari.hukuki.yapi.tr;governed by BRSA;;;;;;;;;;;;;;;
Uruguay;Y;12;2002;Fondo de Garantía de Depósito Bancario;;;;;;;;;;;;;;;;;;;
United States;Y;;1905;Federal Deposit Insurance Corporation (FDIC);;;http://www.fdic.gov/;http://en.wikipedia.org/wiki/Federal_Deposit_Insurance_Corporation;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
