"imfcode","year","CvHOwnPerc"
233,1996,22.5
233,1997,26.8292682926829
233,1998,29.2682926829268
233,1999,28.125
233,2000,29.0322580645161
233,2001,28.5714285714286
233,2002,28.5714285714286
233,2003,25
233,2004,23.0769230769231
233,2005,23.8095238095238
233,2006,27.7777777777778
233,2007,27.7777777777778
233,2008,27.7777777777778
233,2009,27.7777777777778
238,1995,13.3333333333333
238,1996,13.3333333333333
238,1997,13.3333333333333
238,1998,15.2542372881356
238,1999,18.9655172413793
238,2000,18.1818181818182
238,2001,20.3703703703704
238,2002,20.3703703703704
238,2003,19.6078431372549
238,2004,20.4081632653061
238,2005,20.8333333333333
238,2006,20.4081632653061
238,2007,20.8333333333333
238,2008,17.7777777777778
238,2009,17.7777777777778
928,1995,0
928,1996,0
928,1997,0
928,1998,0
928,1999,0
928,2000,0
928,2001,0
928,2002,0
928,2003,0
928,2004,0
928,2005,0
928,2006,0
928,2007,0
928,2008,0
928,2009,0
423,1995,55
423,1996,57.1428571428571
423,1997,57.1428571428571
423,1998,57.1428571428571
423,1999,57.1428571428571
423,2000,57.1428571428571
423,2001,60
423,2002,61.9047619047619
423,2003,61.9047619047619
423,2004,57.8947368421053
423,2005,60
423,2006,60
423,2007,60
423,2008,60
423,2009,60
935,1995,38.2352941176471
935,1996,38.2352941176471
935,1997,38.2352941176471
935,1998,42.4242424242424
935,1999,51.8518518518518
935,2000,52
935,2001,54.1666666666667
935,2002,54.1666666666667
935,2003,56.5217391304348
935,2004,56.5217391304348
935,2005,54.5454545454545
935,2006,63.6363636363636
935,2007,68.1818181818182
935,2008,71.4285714285714
935,2009,71.4285714285714
134,1995,9.57446808510638
134,1996,9.47368421052632
134,1997,10.6382978723404
134,1998,10.3092783505155
134,1999,10.1010101010101
134,2000,11.2244897959184
134,2001,11.4583333333333
134,2002,12.3711340206186
134,2003,12.5
134,2004,12.3711340206186
134,2005,13.4020618556701
134,2006,13.4020618556701
134,2007,13.265306122449
134,2008,14.2857142857143
134,2009,14.4329896907216
128,1995,2.40963855421687
128,1996,2.40963855421687
128,1997,2.40963855421687
128,1998,3.6144578313253
128,1999,3.6144578313253
128,2000,5.88235294117647
128,2001,9.19540229885057
128,2002,9.19540229885057
128,2003,11.3636363636364
128,2004,11.3636363636364
128,2005,9.09090909090909
128,2006,8.98876404494382
128,2007,8.98876404494382
128,2008,7.95454545454545
128,2009,9.30232558139535
243,1995,4.65116279069767
243,1996,4.65116279069767
243,1997,4.65116279069767
243,1998,4.65116279069767
243,1999,4.34782608695652
243,2000,4.34782608695652
243,2001,6.38297872340426
243,2002,8.51063829787234
243,2003,11.1111111111111
243,2004,11.6279069767442
243,2005,12.1951219512195
243,2006,10
243,2007,10
243,2008,10
243,2009,10
612,1995,14.2857142857143
612,1996,14.2857142857143
612,1997,14.2857142857143
612,1998,25
612,1999,22.2222222222222
612,2000,41.6666666666667
612,2001,41.6666666666667
612,2002,46.6666666666667
612,2003,53.3333333333333
612,2004,53.3333333333333
612,2005,57.1428571428571
612,2006,57.1428571428571
612,2007,64.2857142857143
612,2008,64.2857142857143
612,2009,64.2857142857143
248,1995,17.9487179487179
248,1996,17.0731707317073
248,1997,17.9487179487179
248,1998,18.4210526315789
248,1999,21.875
248,2000,22.5806451612903
248,2001,17.8571428571429
248,2002,14.8148148148148
248,2003,14.8148148148148
248,2004,14.8148148148148
248,2005,14.8148148148148
248,2006,14.8148148148148
248,2007,14.8148148148148
248,2008,15.3846153846154
248,2009,19.2307692307692
469,1995,6.25
469,1996,6.25
469,1997,9.375
469,1998,12.5
469,1999,15.625
469,2000,15.625
469,2001,18.75
469,2002,18.75
469,2003,18.75
469,2004,19.3548387096774
469,2005,20.6896551724138
469,2006,44
469,2007,52
469,2008,52
469,2009,52
184,1995,4.3010752688172
184,1996,4.3010752688172
184,1997,5.37634408602151
184,1998,5.37634408602151
184,1999,5.43478260869565
184,2000,5.49450549450549
184,2001,6.38297872340426
184,2002,6.31578947368421
184,2003,6.38297872340426
184,2004,5.37634408602151
184,2005,5.37634408602151
184,2006,7.4468085106383
184,2007,7.36842105263158
184,2008,7.29166666666667
184,2009,7.4468085106383
939,1995,8.33333333333333
939,1996,7.69230769230769
939,1997,8.33333333333333
939,1998,11.1111111111111
939,1999,28.5714285714286
939,2000,42.8571428571429
939,2001,42.8571428571429
939,2002,42.8571428571429
939,2003,42.8571428571429
939,2004,57.1428571428571
939,2005,71.4285714285714
939,2006,71.4285714285714
939,2007,71.4285714285714
939,2008,71.4285714285714
939,2009,71.4285714285714
644,1995,0
644,1996,0
644,1997,0
644,1998,0
644,1999,0
644,2000,0
644,2001,0
644,2002,0
644,2003,0
644,2004,0
644,2005,0
644,2006,0
644,2007,0
644,2008,0
644,2009,0
172,1995,12.5
172,1996,12.5
172,1997,12.5
172,1998,12.5
172,1999,12.5
172,2000,12.5
172,2001,12.5
172,2002,12.5
172,2003,11.1111111111111
172,2004,11.1111111111111
172,2005,11.1111111111111
172,2006,20
172,2007,22.2222222222222
172,2008,22.2222222222222
172,2009,22.2222222222222
132,1995,7.36842105263158
132,1996,7.29166666666667
132,1997,7.14285714285714
132,1998,6.18556701030928
132,1999,6.52173913043478
132,2000,7.60869565217391
132,2001,7.36842105263158
132,2002,7.14285714285714
132,2003,7.14285714285714
132,2004,6.12244897959184
132,2005,6
132,2006,6.06060606060606
132,2007,6.06060606060606
132,2008,6
132,2009,6
112,1995,42.4657534246575
112,1996,44.7368421052632
112,1997,45.5696202531646
112,1998,46.8354430379747
112,1999,47.5
112,2000,48.1481481481481
112,2001,48.1481481481481
112,2002,48.8095238095238
112,2003,51.1363636363636
112,2004,53.4090909090909
112,2005,53.9325842696629
112,2006,53.9325842696629
112,2007,56.1797752808989
112,2008,56.8181818181818
112,2009,56.8181818181818
915,1995,0
915,1996,0
915,1997,0
915,1998,0
915,1999,16.6666666666667
915,2000,23.0769230769231
915,2001,16.6666666666667
915,2002,16.6666666666667
915,2003,21.4285714285714
915,2004,21.4285714285714
915,2005,30.7692307692308
915,2006,50
915,2007,58.3333333333333
915,2008,66.6666666666667
915,2009,66.6666666666667
652,1995,45.4545454545455
652,1996,46.1538461538462
652,1997,40
652,1998,40
652,1999,40
652,2000,40
652,2001,42.8571428571429
652,2002,40
652,2003,46.6666666666667
652,2004,52.9411764705882
652,2005,57.8947368421053
652,2006,52.3809523809524
652,2007,47.6190476190476
652,2008,47.6190476190476
652,2009,47.6190476190476
174,1995,14.2857142857143
174,1996,14.2857142857143
174,1997,7.14285714285714
174,1998,7.14285714285714
174,1999,7.69230769230769
174,2000,14.2857142857143
174,2001,12.5
174,2002,11.1111111111111
174,2003,15.7894736842105
174,2004,21.0526315789474
174,2005,21.0526315789474
174,2006,31.5789473684211
174,2007,27.7777777777778
174,2008,27.7777777777778
174,2009,27.7777777777778
258,1995,11.4285714285714
258,1996,11.4285714285714
258,1997,16.6666666666667
258,1998,16.6666666666667
258,1999,20
258,2000,20.5882352941176
258,2001,21.2121212121212
258,2002,21.2121212121212
258,2003,22.5806451612903
258,2004,22.2222222222222
258,2005,23.0769230769231
258,2006,26.0869565217391
258,2007,36.3636363636364
258,2008,40.9090909090909
258,2009,40.9090909090909
532,1995,66.6666666666667
532,1996,67.3469387755102
532,1997,68
532,1998,66.6666666666667
532,1999,68.8888888888889
532,2000,68.1818181818182
532,2001,69.7674418604651
532,2002,72.0930232558139
532,2003,73.1707317073171
532,2004,75.609756097561
532,2005,75.609756097561
532,2006,75
532,2007,74.3589743589744
532,2008,73.6842105263158
532,2009,76.3157894736842
268,1995,19.047619047619
268,1996,19.047619047619
268,1997,21.7391304347826
268,1998,21.7391304347826
268,1999,21.7391304347826
268,2000,26.0869565217391
268,2001,30.4347826086957
268,2002,35
268,2003,35.2941176470588
268,2004,41.1764705882353
268,2005,41.1764705882353
268,2006,41.1764705882353
268,2007,57.8947368421053
268,2008,55.5555555555556
268,2009,55.5555555555556
960,1995,6.38297872340426
960,1996,13.4615384615385
960,1997,18.1818181818182
960,1998,23.2142857142857
960,1999,27.7777777777778
960,2000,31.25
960,2001,33.3333333333333
960,2002,33.3333333333333
960,2003,25.5813953488372
960,2004,28.2051282051282
960,2005,31.5789473684211
960,2006,35.1351351351351
960,2007,43.2432432432432
960,2008,43.2432432432432
960,2009,43.2432432432432
263,1995,0
263,1996,0
263,1997,0
263,1998,0
263,1999,0
263,2000,0
263,2001,0
263,2002,0
263,2003,0
263,2004,0
263,2005,0
263,2006,0
263,2007,0
263,2008,0
263,2009,0
944,1995,66.6666666666667
944,1996,67.741935483871
944,1997,73.3333333333333
944,1998,74.1935483870968
944,1999,78.125
944,2000,78.125
944,2001,80.6451612903226
944,2002,78.5714285714286
944,2003,82.7586206896552
944,2004,85.1851851851852
944,2005,85.1851851851852
944,2006,89.6551724137931
944,2007,92.8571428571429
944,2008,92.5925925925926
944,2009,92.3076923076923
536,1995,24.0740740740741
536,1996,25.7142857142857
536,1997,26.2135922330097
536,1998,26.7326732673267
536,1999,29.8850574712644
536,2000,31.25
536,2001,29.3333333333333
536,2002,32.3943661971831
536,2003,30
536,2004,30.9859154929577
536,2005,34.2857142857143
536,2006,35.8208955223881
536,2007,47.7611940298507
536,2008,47.6923076923077
536,2009,49.2307692307692
534,1995,6.41025641025641
534,1996,6.49350649350649
534,1997,6.49350649350649
534,1998,7.69230769230769
534,1999,7.69230769230769
534,2000,7.79220779220779
534,2001,7.89473684210526
534,2002,9.21052631578947
534,2003,9.21052631578947
534,2004,9.33333333333333
534,2005,9.58904109589041
534,2006,11.2676056338028
534,2007,11.5942028985507
534,2008,11.9402985074627
534,2009,11.9402985074627
178,1995,79.1666666666667
178,1996,80.7692307692308
178,1997,80.7692307692308
178,1998,82.1428571428571
178,1999,78.5714285714286
178,2000,79.3103448275862
178,2001,82.7586206896552
178,2002,86.2068965517241
178,2003,86.2068965517241
178,2004,86.2068965517241
178,2005,86.2068965517241
178,2006,86.6666666666667
178,2007,87.0967741935484
178,2008,86.6666666666667
178,2009,86.6666666666667
429,1995,0
429,1996,0
429,1997,0
429,1998,0
429,1999,0
429,2000,0
429,2001,0
429,2002,0
429,2003,0
429,2004,0
429,2005,0
429,2006,0
429,2007,0
429,2008,0
429,2009,0
176,1995,0
176,1996,0
176,1997,0
176,1998,0
176,1999,0
176,2000,0
176,2001,0
176,2002,0
176,2003,0
176,2004,0
176,2005,0
176,2006,0
176,2007,0
176,2008,0
176,2009,0
436,1995,11.7647058823529
436,1996,11.7647058823529
436,1997,11.7647058823529
436,1998,11.7647058823529
436,1999,11.7647058823529
436,2000,11.7647058823529
436,2001,11.7647058823529
436,2002,13.3333333333333
436,2003,14.2857142857143
436,2004,0
436,2005,0
436,2006,0
436,2007,0
436,2008,0
436,2009,0
136,1995,3.40909090909091
136,1996,3.37078651685393
136,1997,3.37078651685393
136,1998,4.3956043956044
136,1999,5.37634408602151
136,2000,5.31914893617021
136,2001,5.26315789473684
136,2002,5.15463917525773
136,2003,5
136,2004,5
136,2005,5.05050505050505
136,2006,6
136,2007,10.4166666666667
136,2008,9.67741935483871
136,2009,9.78260869565217
343,1995,30
343,1996,30
343,1997,30
343,1998,30
