"imfcode","year","legal_abs","political_abs","economic_abs"
912,2001,0.4065303,0.3329258,0.4139395
912,2002,0.4333548,0.3199892,0.4233497
912,2003,0.4490521,0.3344587,0.4423843
912,2004,0.4061852,0.3270981,0.4633072
912,2005,0.4152721,0.3179643,0.4724768
912,2006,0.4112099,0.3340939,0.4716282
912,2007,0.4411495,0.3109511,0.5202568
912,2008,0.4552974,0.3105147,0.535253
912,2009,0.4098532,0.3069474,0.556453
912,2010,0.3941252,0.2981135,0.5373527
618,1990,NA,0.225,0.1086197
618,1991,NA,0.06875,0.1006859
618,1992,NA,0.1916667,0.0927521
618,1993,NA,0.1025,0.0677804
618,1994,NA,0.147598,0.06183
618,1995,0.143249,0.147598,0.0558796
618,1996,0.0733542,0.0754731,0.1587194
618,1997,0.1308466,0.0698766,0.240663
618,1998,0.1788997,0.1074174,0.2608122
618,1999,0.1768027,0.1377043,0.2780897
618,2000,0.2288019,0.1672968,0.2906054
618,2001,0.2420787,0.1998367,0.3115889
618,2002,0.3217662,0.2011265,0.3953567
618,2003,0.2940035,0.2834902,0.3930626
618,2004,0.2907562,0.2862482,0.4331397
618,2005,0.2694289,0.3305708,0.4143777
618,2006,0.286086,0.3138596,0.374947
618,2007,0.2851791,0.3209132,0.3923275
618,2008,0.2854902,0.3115188,0.3475396
618,2009,0.2790864,0.3440328,0.3917327
618,2010,0.247895,0.302749,0.365988
124,1990,0.9444444,0.8776326,0.7384495
124,1991,0.9444444,0.8807189,0.8664495
124,1992,0.9444444,0.8945625,0.8561681
124,1993,0.7875,0.8352451,0.7394871
124,1994,0.7875,0.8352451,0.7326508
124,1995,0.7261904,0.8028428,0.681186
124,1996,0.8151819,0.8195019,0.777643
124,1997,0.799019,0.7768139,0.7825127
124,1998,0.7921154,0.7677486,0.7839102
124,1999,0.7753543,0.7518181,0.7833767
124,2000,0.7781554,0.7600264,0.7668059
124,2001,0.8134862,0.8238853,0.7715144
124,2002,0.8161516,0.8371655,0.7867053
124,2003,0.8391199,0.8361034,0.8006877
124,2004,0.8196985,0.8424555,0.8007756
124,2005,0.8420485,0.8414295,0.7815414
124,2006,0.8453964,0.8348119,0.7944369
124,2007,0.8334129,0.8226831,0.8036968
124,2008,0.8024672,0.8199204,0.7945014
124,2009,0.7964205,0.8411598,0.7850524
124,2010,0.797642,0.8422602,0.7798102
638,1990,NA,0.3854167,0.2084306
638,1991,NA,0.6583333,0.2080703
638,1992,NA,0.6564951,0.2077099
638,1993,NA,0.5501961,0.2055122
638,1994,NA,0.6583333,0.2010752
638,1995,0.4989658,0.6302083,0.200805
638,1996,0.5493919,0.5426915,0.3863238
638,1997,0.5466784,0.5486327,0.3958709
638,1998,0.5481315,0.5129072,0.4054179
638,1999,0.5029715,0.5169098,0.4141195
638,2000,0.5268949,0.5188291,0.4228211
638,2001,0.5641179,0.556514,0.4730599
638,2002,0.5691187,0.5553099,0.4344979
638,2003,0.5519725,0.5910954,0.4161194
638,2004,0.4342885,0.5542002,0.4458716
638,2005,0.495542,0.5029235,0.4308341
638,2006,0.50569,0.5115427,0.4360915
638,2007,0.4960511,0.5546349,0.4481599
638,2008,0.5185952,0.5409545,0.437913
638,2009,0.5109528,0.5435013,0.44718
638,2010,0.4916267,0.5400389,0.4340236
748,1990,0.5555556,0.2759259,0.375
748,1991,0.5324074,0.2916667,0.3958333
748,1992,0.5555556,0.3194444,0.5
748,1993,0.4972222,0.3004167,0.325
748,1994,0.525,0.31,0.2951389
748,1995,0.525,0.31,0.2951389
748,1996,0.4826965,0.3693649,0.3833066
748,1997,0.5229994,0.3605253,0.4428411
748,1998,0.5262653,0.358504,0.4593201
748,1999,0.529359,0.3898105,0.4509297
748,2000,0.5324528,0.4030378,0.4536503
748,2001,0.5674216,0.4792888,0.5557401
748,2002,0.555631,0.4677636,0.5661631
748,2003,0.5464194,0.4985937,0.5579697
748,2004,0.5409282,0.4719516,0.5507392
748,2005,0.5247139,0.4471026,0.4880499
748,2006,0.523044,0.4219906,0.4741232
748,2007,0.5301527,0.4148682,0.4858764
748,2008,0.5323742,0.4138532,0.4843399
748,2009,0.511958,0.4364509,0.4658982
748,2010,0.5112587,0.4278865,0.4858882
513,1990,0.3333333,0.1867284,0.2134218
513,1991,0.4444444,0.3342593,0.2206552
513,1992,0.4444444,0.3700708,0.2469859
513,1993,0.4131944,0.4733415,0.2042089
513,1994,0.4569444,0.4788971,0.2016623
513,1995,0.3997707,0.4622304,0.2231779
513,1996,0.4211638,0.4407624,0.2860133
513,1997,0.4147831,0.494599,0.3003559
513,1998,0.3959024,0.5162892,0.3075806
513,1999,0.3849681,0.4818136,0.2959565
513,2000,0.3426048,0.4737269,0.3462255
513,2001,0.3526108,0.3904798,0.381278
513,2002,0.3226644,0.3853266,0.3624798
513,2003,0.3034941,0.3637088,0.3623779
513,2004,0.3060527,0.3502174,0.363753
513,2005,0.3656189,0.3628797,0.378324
513,2006,0.3829633,0.368249,0.4256772
513,2007,0.3862229,0.2917593,0.4036097
513,2008,0.3999952,0.3208514,0.3815341
513,2009,0.403385,0.4332166,0.3916132
513,2010,0.403725,0.4480127,0.4012134
918,1990,0.7777778,0.6246914,0.178187
918,1991,0.8333333,0.7348958,0.2280936
918,1992,0.8333333,0.7002633,0.2884169
918,1993,0.7291666,0.6534314,0.3042699
918,1994,0.7208333,0.6271814,0.3514174
918,1995,0.646664,0.6232925,0.4459987
918,1996,0.6187868,0.6245527,0.4821728
918,1997,0.5778675,0.635071,0.4985744
918,1998,0.5795407,0.607514,0.5401497
918,1999,0.584733,0.5792664,0.552317
918,2000,0.5279327,0.579491,0.5348163
918,2001,0.5304297,0.6230528,0.6023797
918,2002,0.5360613,0.6459548,0.6011372
918,2003,0.5358109,0.6369076,0.6532997
918,2004,0.5044982,0.6393686,0.6672398
918,2005,0.5271086,0.6318274,0.668274
918,2006,0.5300692,0.6457536,0.7135038
918,2007,0.5140678,0.6435948,0.7204552
918,2008,0.5011157,0.6274654,0.716132
918,2009,0.500255,0.6294295,0.7178042
918,2010,0.5002091,0.6162469,0.7145509
419,1990,0.5,0.3888889,0.6224933
419,1991,0.5,0.4259259,0.6190167
419,1992,0.6111111,0.4814815,0.6381094
419,1993,0.4604167,0.4575,0.5310396
419,1994,0.4708333,0.445,0.5215916
419,1995,0.4983172,0.4084722,0.6158169
419,1996,0.4883534,0.360336,0.6581116
419,1997,0.4742046,0.3338043,0.6897947
419,1998,0.4748707,0.3062625,0.7058527
419,1999,0.4688871,0.3043936,0.7233273
419,2000,0.4944206,0.30707,0.7408019
419,2001,0.5358869,0.4337278,0.7677577
419,2002,0.6019564,0.4487064,0.7870727
419,2003,0.5867891,0.4912367,0.7230583
419,2004,0.541664,0.4801632,0.7007078
419,2005,0.5610558,0.4460329,0.7154998
419,2006,0.5941541,0.4368492,0.7867104
419,2007,0.5731522,0.4493528,0.8026541
419,2008,0.5757375,0.4576966,0.7894502
419,2009,0.5790854,0.4513528,0.7896343
419,2010,0.5930749,0.4416106,0.7959889
313,1990,0.7777778,0.6262255,0.4100197
313,1991,0.7777778,0.6262255,0.4113491
313,1992,0.8333333,0.6505311,0.4109424
313,1993,0.6875,0.6930646,0.3539841
313,1994,0.7041667,0.705256,0.3556032
313,1995,0.6474425,0.7191449,0.5071428
313,1996,0.7886832,0.7299309,0.564069
313,1997,0.7912391,0.7294294,0.5881597
313,1998,0.793795,0.718879,0.6113824
313,1999,0.821975,0.7192748,0.616783
313,2000,0.7117264,0.7196707,0.6221836
313,2001,0.7592974,0.7816055,0.6889655
313,2002,0.7605721,0.7547903,0.6747373
313,2003,0.8784609,0.7507777,0.6694516
313,2004,0.8946146,0.7726509,0.6581529
313,2005,0.9000065,0.7747846,0.6546947
313,2006,0.8865947,0.7732633,0.6890839
313,2007,0.8724719,0.7504974,0.6829797
313,2008,0.8720313,0.7666836,0.6885344
313,2009,0.841057,0.766387,0.6726561
313,2010,0.8274022,0.7786381,0.6606213
963,1990,NA,NA,NA
963,1991,NA,NA,NA
963,1992,NA,NA,NA
963,1993,NA,0.1854167,0
963,1994,NA,0.1854167,0.0166667
963,1995,NA,NA,0.0166667
963,1996,0.355614,0.3190499,0.3008421
963,1997,0.341971,0.2772782,0.2945526
963,1998,0.2601349,0.3448814,0.2274649
963,1999,0.2601727,0.3391992,0.2361509
963,2000,0.3102105,0.333517,0.3073369
963,2001,0.4303004,0.4590203,0.2886474
963,2002,0.4295569,0.5293152,0.3282912
963,2003,0.4200317,0.424666,0.411562
963,2004,0.4805658,0.4165522,0.494599
