"year","IMFDreher","imfcode"
"1976",0,748
"1977",0,748
"1978",0,748
"1979",0,748
"1980",0,748
"1981",0,748
"1982",0,748
"1983",0,748
"1984",0,748
"1985",0,748
"1986",0,748
"1987",0,748
"1988",0,748
"1989",0,748
"1990",0,748
"1991",0,748
"1992",0,748
"1993",0,748
"1994",0,748
"1995",0,748
"1996",0,748
"1997",0,748
"1998",0,748
"1999",0,748
"2000",0,748
"2001",0,748
"2002",0,748
"2003",0,748
"2004",0,748
"2005",0,748
"2006",0,748
"2007",0,748
"2008",0,748
"1970",1,618
"1971",0,618
"1972",0,618
"1973",0,618
"1974",0,618
"1975",0,618
"1976",0,618
"1977",0,618
"1978",0,618
"1979",0,618
"1980",0,618
"1981",0,618
"1982",0,618
"1983",0,618
"1984",0,618
"1985",0,618
"1986",1,618
"1987",0,618
"1988",0,618
"1989",0,618
"1990",0,618
"1991",0,618
"1992",0,618
"1993",0,618
"1994",0,618
"1995",0,618
"1996",0,618
"1997",0,618
"1998",0,618
"1999",0,618
"2000",0,618
"2001",0,618
"2002",0,618
"2003",0,618
"2004",0,618
"2005",0,618
"2006",0,618
"2007",0,618
"2008",0,618
"1970",0,662
"1971",0,662
"1972",0,662
"1973",0,662
"1974",0,662
"1975",0,662
"1976",0,662
"1977",0,662
"1978",0,662
"1979",0,662
"1980",0,662
"1981",0,662
"1982",0,662
"1983",0,662
"1984",1,662
"1985",1,662
"1986",1,662
"1987",0,662
"1988",1,662
"1989",1,662
"1990",0,662
"1991",1,662
"1992",0,662
"1993",0,662
"1994",0,662
"1995",0,662
"1996",0,662
"1997",0,662
"1998",0,662
"1999",0,662
"2000",0,662
"2001",0,662
"2002",0,662
"2003",0,662
"2004",0,662
"2005",0,662
"2006",0,662
"2007",0,662
"2008",0,662
"1970",0,522
"1971",0,522
"1972",0,522
"1973",0,522
"1974",0,522
"1975",0,522
"1976",0,522
"1977",0,522
"1978",0,522
"1979",0,522
"1980",0,522
"1981",0,522
"1982",0,522
"1983",0,522
"1984",0,522
"1985",0,522
"1986",0,522
"1987",0,522
"1988",0,522
"1989",0,522
"1990",0,522
"1991",0,522
"1992",0,522
"1993",0,522
"1994",0,522
"1995",0,522
"1996",0,522
"1997",0,522
"1998",0,522
"1999",0,522
"2000",0,522
"2001",0,522
"2002",0,522
"2003",0,522
"2004",0,522
"2005",0,522
"2006",0,522
"2007",0,522
"2008",0,522
"1970",0,622
"1971",0,622
"1972",0,622
"1973",0,622
"1974",0,622
"1975",0,622
"1976",0,622
"1977",0,622
"1978",0,622
"1979",0,622
"1980",0,622
"1981",0,622
"1982",0,622
"1983",0,622
"1984",0,622
"1985",0,622
"1986",0,622
"1987",0,622
"1988",1,622
"1989",0,622
"1990",0,622
"1991",1,622
"1992",0,622
"1993",0,622
"1994",1,622
"1995",1,622
"1996",0,622
"1997",0,622
"1998",0,622
"1999",0,622
"2000",0,622
"2001",0,622
"2002",0,622
"2003",0,622
"2004",0,622
"2005",0,622
"2006",0,622
"2007",0,622
"2008",0,622
"1970",0,624
"1971",0,624
"1972",0,624
"1973",0,624
"1974",0,624
"1975",0,624
"1976",0,624
"1977",0,624
"1978",0,624
"1979",0,624
"1980",0,624
"1981",0,624
"1982",0,624
"1983",0,624
"1984",0,624
"1985",0,624
"1986",0,624
"1987",0,624
"1988",0,624
"1989",0,624
"1990",0,624
"1991",0,624
"1992",0,624
"1993",0,624
"1994",0,624
"1995",0,624
"1996",0,624
"1997",0,624
"1998",1,624
"1999",0,624
"2000",0,624
"2001",0,624
"2002",0,624
"2003",0,624
"2004",0,624
"2005",0,624
"2006",0,624
"2007",0,624
"2008",0,624
"1970",0,626
"1971",0,626
"1972",0,626
"1973",0,626
"1974",0,626
"1975",0,626
"1976",0,626
"1977",0,626
"1978",0,626
"1979",0,626
"1980",1,626
"1981",1,626
"1982",0,626
"1983",1,626
"1984",1,626
"1985",1,626
"1986",0,626
"1987",1,626
"1988",0,626
"1989",0,626
"1990",0,626
"1991",0,626
"1992",0,626
"1993",0,626
"1994",1,626
"1995",0,626
"1996",0,626
"1997",0,626
"1998",0,626
"1999",0,626
"2000",0,626
"2001",0,626
"2002",0,626
"2003",0,626
"2004",0,626
"2005",0,626
"2006",0,626
"2007",0,626
"2008",0,626
"1970",0,628
"1971",0,628
"1972",0,628
"1973",0,628
"1974",0,628
"1975",0,628
"1976",0,628
"1977",0,628
"1978",0,628
"1979",0,628
"1980",0,628
"1981",0,628
"1982",0,628
"1983",0,628
"1984",0,628
"1985",0,628
"1986",0,628
"1987",0,628
"1988",0,628
"1989",0,628
"1990",0,628
"1991",0,628
"1992",0,628
"1993",0,628
"1994",1,628
"1995",0,628
"1996",0,628
"1997",0,628
"1998",0,628
"1999",0,628
"2000",0,628
"2001",0,628
"2002",0,628
"2003",0,628
"2004",0,628
"2005",0,628
"2006",0,628
"2007",0,628
"2008",0,628
"1970",0,228
"1971",0,228
"1972",0,228
"1973",0,228
"1974",1,228
"1975",1,228
"1976",0,228
"1977",0,228
"1978",0,228
"1979",0,228
"1980",0,228
"1981",0,228
"1982",0,228
"1983",1,228
"1984",0,228
"1985",0,228
"1986",0,228
"1987",0,228
"1988",0,228
"1989",1,228
"1990",0,228
"1991",0,228
"1992",0,228
"1993",0,228
"1994",0,228
"1995",0,228
"1996",0,228
"1997",0,228
"1998",0,228
"1999",0,228
"2000",0,228
"2001",0,228
"2002",0,228
"2003",0,228
"2004",0,228
"2005",0,228
"2006",0,228
"2007",0,228
"2008",0,228
"1970",0,924
"1971",0,924
"1972",0,924
"1973",0,924
"1974",0,924
"1975",0,924
"1976",0,924
"1977",0,924
