"iso2c","country","year","GDPCurrentUSD","GDPperCapita","CapToAssetswdi","NPLwdi","CreditInfo","DomesticCredit","CreditBurCoverange","CurrentAccount","IMFCredits","PortfolioEquity","CashSurplusDeficit","ClaimsOnGov","CentGovDebt","ShortExternDebtAll","ExternPrivateDebt","ExternPublicDebt","ExternDebtTotal","TotalReserves","imfcode"
"80","4E","East Asia & Pacific (developing only)",1993,881488906479.658,619.269127749528,NA,NA,NA,88.6828528442516,NA,NA,1429870000,4483994785.39536,NA,NA,42.8838601185375,71190449000,39232536000,216147811000,328000666000,NA,NA
"81","4E","East Asia & Pacific (developing only)",1994,1062660855360.13,678.879319297534,NA,NA,NA,86.7021133008706,NA,NA,1493406000,1506737373.82181,NA,NA,49.5272508983715,81328758000,59193342000,241555560000,383571066000,NA,NA
"82","4E","East Asia & Pacific (developing only)",1995,1313156927163.68,736.813675075908,NA,NA,NA,88.0564424787446,NA,NA,1336714000,3746327240.98655,NA,NA,39.0705854882758,108784479000,89982433000,255378308000,455481934000,167870779418.847,NA
"83","4E","East Asia & Pacific (developing only)",1996,1508361631036.69,793.649286082441,NA,NA,NA,93.7412514646816,NA,NA,1174823000,5043060841.69172,NA,NA,NA,128681354000,108460453000,255650209000,493966839000,213382655259.882,NA
"84","4E","East Asia & Pacific (developing only)",1997,1563357277535.48,841.480800479774,NA,NA,NA,103.220479007486,NA,NA,6932952000,4131924261.13021,NA,NA,NA,131973868000,122256798000,265138569000,526302187000,224959007582.064,NA
"85","4E","East Asia & Pacific (developing only)",1998,1428843195678.71,850.461053471117,NA,NA,NA,111.957978752668,NA,NA,14510875000,-3052660057.59672,NA,NA,NA,84421780000,159815393000,274493675000,533241723000,246984914796.296,NA
"86","4E","East Asia & Pacific (developing only)",1999,1569469557452.72,894.319912489031,NA,NA,NA,112.871564899515,NA,NA,17456693000,1263232549.89897,NA,NA,NA,72750178000,158401476000,287643885000,536252232000,274910006452.191,NA
"87","4E","East Asia & Pacific (developing only)",2000,1727175552979.3,952.243166494395,NA,NA,NA,111.089761067463,NA,NA,17781221000,6589276978.16901,NA,NA,NA,61429484000,147155086000,270939299000,497305090000,283155115612.006,NA
"88","4E","East Asia & Pacific (developing only)",2001,1838788795840.42,1006.17746873302,NA,NA,NA,113.461125670197,NA,NA,14667197000,1767613488.25643,NA,NA,NA,103906684000,133008132000,262795618000,514377631000,332964345187.635,NA
"89","4E","East Asia & Pacific (developing only)",2002,2032800948348.92,1075.96836841351,NA,NA,NA,127.473943182338,NA,NA,13007288000,3837896129.13074,-2.56593864798691,NA,NA,110931121000,120881381000,265631733000,510451523000,425832042749.834,NA
"90","4E","East Asia & Pacific (developing only)",2003,2296457532530.11,1160.97873872224,NA,NA,NA,133.104620137098,NA,NA,13648556000,12485683217.305,-2.24351576040353,NA,NA,136030139000,121123745000,264631525000,535433965000,565624721057.085,NA
"91","4E","East Asia & Pacific (developing only)",2004,2662749142916.2,1255.61494167219,NA,NA,1.15789473684211,124.789323679043,1.08235294117647,NA,12548540000,19312021323.4899,-1.95577666051584,NA,NA,169348509000,131970253000,267603905000,581471207000,802813053942.812,NA
"92","4E","East Asia & Pacific (developing only)",2005,3078547102190.63,1367.23739246954,NA,NA,1.3,119.552689472215,2.65789473684211,NA,10005447000,25907277123.4494,NA,NA,NA,198825529000,148494550000,263993663000,621319189000,1020454816446.35,NA
"93","4E","East Asia & Pacific (developing only)",2006,3701545911534.03,1504.83672197181,NA,NA,1.45,117.553923643248,3.16315789473684,NA,1776091000,56192730918.8626,NA,NA,NA,224005661000,166667360000,265323561000,657772673000,1315781236982.35,NA
"94","4E","East Asia & Pacific (developing only)",2007,4674600628843.09,1677.54223213863,NA,NA,1.5,115.367201374848,3.93684210526316,NA,1832126000,35062725294.5761,NA,NA,NA,277058582000,189922242000,269370793000,738183743000,1860434736773.74,NA
"95","4E","East Asia & Pacific (developing only)",2008,5909574010079.61,1807.04210272103,NA,NA,1.6,110.367383117552,4.18421052631579,NA,1733727000,-7583390206.8043,NA,NA,NA,263825520000,213532205000,288523497000,767614949000,2293276956418.04,NA
"96","4E","East Asia & Pacific (developing only)",2009,6375868174423.76,1928.48141834192,NA,NA,1.6,131.508873726992,8.48,NA,20823157000,30184748234.3639,NA,NA,NA,328904339000,213764118000,309746602000,873238216000,2829892989511.15,NA
"97","4E","East Asia & Pacific (developing only)",2010,7645585621604.08,2101.16759923712,NA,NA,1.75,131.907104028194,9.57,NA,20463578000,40323868642.4342,NA,NA,NA,477919244000,249446298000,321612874000,1069441994000,3381571087409,NA
"98","4E","East Asia & Pacific (developing only)",2011,9313015567915.97,2260.45562954564,NA,NA,1.95,132.487043450908,10.135,NA,20361769000,7979875614.993,NA,NA,NA,622999916000,268142087000,331129293000,1242633065000,3783604291090.68,NA
"99","4E","East Asia & Pacific (developing only)",2012,NA,NA,NA,NA,2.2,NA,10.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","7E","Europe & Central Asia (developing only)",1980,NA,NA,NA,NA,NA,30.8917523801948,NA,NA,2142800000,0,NA,NA,NA,6944459000,1.154e+10,31628898000,52256157000,NA,NA
"101","7E","Europe & Central Asia (developing only)",1981,NA,NA,NA,NA,NA,30.4850651816226,NA,NA,3163300000,0,NA,NA,NA,6479437000,1.2144e+10,33417845000,55204582000,NA,NA
"102","7E","Europe & Central Asia (developing only)",1982,NA,NA,NA,NA,NA,33.9044242389585,NA,NA,4071700000,0,NA,NA,NA,4924822000,1.1269e+10,35126148000,55391670000,NA,NA
"103","7E","Europe & Central Asia (developing only)",1983,NA,NA,NA,NA,NA,35.1170015389262,NA,NA,4582400000,0,NA,NA,NA,4025259000,1.0432e+10,37910503000,56950162000,NA,NA
"104","7E","Europe & Central Asia (developing only)",1984,NA,NA,NA,NA,NA,39.6061298989412,NA,NA,4309600000,0,NA,NA,NA,4777642000,8.612e+09,51383537000,69082779000,NA,NA
