"year","SystemicCrisis","CurrencyCrisis","SovereignDefault","SovereignDebtRestructuring","imfcode","country"
"180","1975",0,1,0,0,176,"ICELAND"
"181","1993",1,0,0,0,534,"INDIA"
"182","1997",1,0,0,0,536,"INDONESIA"
"183","1998",0,1,0,0,536,"INDONESIA"
"184","2002",0,0,0,1,536,"INDONESIA"
"185","1979",0,1,0,0,536,"INDONESIA"
"186","1999",0,0,1,0,536,"INDONESIA"
"187","1985",0,1,0,0,429,"IRAN, ISLAMIC REPUBLIC OF"
"188","1992",0,0,1,0,429,"IRAN, ISLAMIC REPUBLIC OF"
"189","1993",0,1,0,0,429,"IRAN, ISLAMIC REPUBLIC OF"
"190","1994",0,0,0,1,429,"IRAN, ISLAMIC REPUBLIC OF"
"191","2000",0,1,0,0,429,"IRAN, ISLAMIC REPUBLIC OF"
"192","2008",1,0,0,0,178,"IRELAND"
"193","1977",1,0,0,0,436,"ISRAEL"
"194","1980",0,1,0,0,436,"ISRAEL"
"195","1985",0,1,0,0,436,"ISRAEL"
"196","1975",0,1,0,0,436,"ISRAEL"
"197","1981",0,1,0,0,136,"ITALY"
"198","2008",1,0,0,0,136,"ITALY"
"199","1983",0,1,0,0,343,"JAMAICA"
"200","1990",0,0,0,1,343,"JAMAICA"
"201","1991",0,1,0,0,343,"JAMAICA"
"202","1996",1,0,0,0,343,"JAMAICA"
"203","1978",0,1,1,0,343,"JAMAICA"
"204","2010",0,0,1,1,343,"JAMAICA"
"205","1997",1,0,0,0,158,"JAPAN"
"206","1989",1,1,1,0,439,"JORDAN"
"207","1993",0,0,0,1,439,"JORDAN"
"208","2008",1,0,0,0,916,"KAZAKHSTAN"
"209","1999",0,1,0,0,916,"KAZAKHSTAN"
"210","1985",1,0,0,0,664,"KENYA"
"211","1992",1,0,0,0,664,"KENYA"
"212","1993",0,1,0,0,664,"KENYA"
"213","1997",1,0,0,0,542,"KOREA, REPUBLIC OF"
"214","1998",0,1,0,0,542,"KOREA, REPUBLIC OF"
"215","1982",1,0,0,0,443,"KUWAIT"
"216","1995",1,0,0,0,917,"KYRGYZSTAN"
"217","1997",0,1,0,0,917,"KYRGYZSTAN"
"218","1986",0,1,0,0,544,"LAO PEOPLE'S DEMOCRATIC REPUBLIC"
"219","1997",0,1,0,0,544,"LAO PEOPLE'S DEMOCRATIC REPUBLIC"
"220","1972",0,1,0,0,544,"LAO PEOPLE'S DEMOCRATIC REPUBLIC"
"221","1978",0,1,0,0,544,"LAO PEOPLE'S DEMOCRATIC REPUBLIC"
"222","1992",0,1,0,0,941,"LATVIA"
"223","1995",1,0,0,0,941,"LATVIA"
"224","2008",1,0,0,0,941,"LATVIA"
"225","1984",0,1,0,0,446,"LEBANON"
"226","1990",1,1,0,0,446,"LEBANON"
"227","1985",0,1,0,0,666,"LESOTHO"
"228","1980",0,0,1,0,668,"LIBERIA"
"229","1991",1,0,0,0,668,"LIBERIA"
"230","2002",0,1,0,0,672,"LIBYAN ARAB JAMAHIRIYA"
"231","1992",0,1,0,0,946,"LITHUANIA"
"232","1995",1,0,0,0,946,"LITHUANIA"
"233","2008",1,0,0,0,137,"LUXEMBOURG"
"234","1993",1,0,0,0,962,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF"
"235","1981",0,0,1,0,674,"MADAGASCAR"
"236","1984",0,1,0,0,674,"MADAGASCAR"
"237","1988",1,0,0,0,674,"MADAGASCAR"
"238","1992",0,0,0,1,674,"MADAGASCAR"
"239","1994",0,1,0,0,674,"MADAGASCAR"
"240","2004",0,1,0,0,674,"MADAGASCAR"
"241","1982",0,0,1,0,676,"MALAWI"
"242","1988",0,0,0,1,676,"MALAWI"
"243","1994",0,1,0,0,676,"MALAWI"
"244","1997",1,0,0,0,548,"MALAYSIA"
"245","1998",0,1,0,0,548,"MALAYSIA"
"246","1975",0,1,0,0,556,"MALDIVES"
"247","1987",1,0,0,0,678,"MALI"
"248","1994",0,1,0,0,678,"MALI"
"249","1984",1,0,0,0,682,"MAURITANIA"
"250","1993",0,1,0,0,682,"MAURITANIA"
"251","1977",0,1,0,0,273,"MEXICO"
"252","1981",1,0,0,0,273,"MEXICO"
"253","1982",0,1,1,0,273,"MEXICO"
"254","1990",0,0,0,1,273,"MEXICO"
"255","1994",1,0,0,0,273,"MEXICO"
"256","1995",0,1,0,0,273,"MEXICO"
"257","2002",0,0,1,1,921,"MOLDOVA, REPUBLIC OF"
"258","1999",0,1,0,0,921,"MOLDOVA, REPUBLIC OF"
"259","1990",0,1,0,0,948,"MONGOLIA"
"260","1997",0,1,0,0,948,"MONGOLIA"
"261","2008",1,0,0,0,948,"MONGOLIA"
"262","1980",1,0,0,0,686,"MOROCCO"
"263","1981",0,1,0,0,686,"MOROCCO"
"264","1983",0,0,1,0,686,"MOROCCO"
"265","1990",0,0,0,1,686,"MOROCCO"
"266","1984",0,0,1,0,688,"MOZAMBIQUE"
"267","1987",1,1,0,0,688,"MOZAMBIQUE"
"268","1991",0,0,0,1,688,"MOZAMBIQUE"
"269","1990",0,1,0,0,518,"MYANMAR"
"270","1996",0,1,0,0,518,"MYANMAR"
"271","2001",0,1,0,0,518,"MYANMAR"
"272","1975",0,1,0,0,518,"MYANMAR"
"274","1984",0,1,0,0,558,"NEPAL"
"275","1988",1,0,0,0,558,"NEPAL"
"276","1992",0,1,0,0,558,"NEPAL"
"277","2008",1,0,0,0,138,"NETHERLANDS"
"278","1981",0,1,0,0,839,"NEW CALEDONIA"
"279","1984",0,1,0,0,196,"NEW ZEALAND"
"280","1980",0,0,1,0,278,"NICARAGUA"
"281","1985",0,1,0,0,278,"NICARAGUA"
"282","1990",1,1,0,0,278,"NICARAGUA"
"283","1995",0,0,0,1,278,"NICARAGUA"
"284","2000",1,0,0,0,278,"NICARAGUA"
"285","1979",0,1,0,0,278,"NICARAGUA"
"286","1983",1,0,1,0,692,"NIGER"
"287","1991",0,0,0,1,692,"NIGER"
"288","1994",0,1,0,0,692,"NIGER"
"289","1983",0,1,1,0,694,"NIGERIA"
"290","1989",0,1,0,0,694,"NIGERIA"
"291","1991",1,0,0,0,694,"NIGERIA"
"292","1992",0,0,0,1,694,"NIGERIA"
"293","1997",0,1,0,0,694,"NIGERIA"
"294","2009",1,0,0,0,694,"NIGERIA"
"295","1991",1,0,0,0,142,"NORWAY"
"296","1972",0,1,0,0,564,"PAKISTAN"
"297","1983",0,0,1,0,283,"PANAMA"
"298","1988",1,0,0,0,283,"PANAMA"
"299","1996",0,0,0,1,283,"PANAMA"
"300","1995",0,1,0,0,853,"PAPUA NEW GUINEA"
"301","1982",0,0,1,0,288,"PARAGUAY"
"302","1984",0,1,0,0,288,"PARAGUAY"
"303","1989",0,1,0,0,288,"PARAGUAY"
"304","1992",0,0,0,1,288,"PARAGUAY"
"305","1995",1,0,0,0,288,"PARAGUAY"
"306","2002",0,1,0,0,288,"PARAGUAY"
"307","1976",0,1,0,0,293,"PERU"
"308","1981",0,1,0,0,293,"PERU"
"309","1983",1,0,0,0,293,"PERU"
"310","1988",0,1,0,0,293,"PERU"
"311","1996",0,0,0,1,293,"PERU"
"312","1978",0,0,1,0,293,"PERU"
"313","1983",1,1,1,0,566,"PHILIPPINES"
"314","1992",0,0,0,1,566,"PHILIPPINES"
"315","1997",1,0,0,0,566,"PHILIPPINES"
"316","1998",0,1,0,0,566,"PHILIPPINES"
"317","1981",0,0,1,0,964,"POLAND"
"318","1992",1,0,0,0,964,"POLAND"
"319","1994",0,0,0,1,964,"POLAND"
"320","1983",0,1,0,0,182,"PORTUGAL"
"321","2008",1,0,0,0,182,"PORTUGAL"
"322","1982",0,0,1,0,968,"ROMANIA"
"323","1987",0,0,0,1,968,"ROMANIA"
"324","1990",1,0,0,0,968,"ROMANIA"
"325","1996",0,1,0,0,968,"ROMANIA"
"326","1998",1,1,1,0,922,"RUSSIAN FEDERATION"
"327","2008",1,0,0,0,922,"RUSSIAN FEDERATION"
"328","2000",0,0,0,1,922,"RUSSIAN FEDERATION"
"329","1991",0,1,0,0,714,"RWANDA"
"330","1981",0,0,1,0,722,"SENEGAL"
"331","1988",1,0,0,0,722,"SENEGAL"
"332","1994",0,1,0,0,722,"SENEGAL"
"333","1996",0,0,0,1,722,"SENEGAL"
"334","2000",0,1,0,0,965,"SERBIA"
"335","2008",0,1,1,0,718,"SEYCHELLES"
"336","2009",0,0,0,1,718,"SEYCHELLES"
"337","1977",0,0,1,0,724,"SIERRA LEONE"
"338","1983",0,1,0,0,724,"SIERRA LEONE"
"339","1989",0,1,0,0,724,"SIERRA LEONE"
"340","1990",1,0,0,0,724,"SIERRA LEONE"
"341","1995",0,0,0,1,724,"SIERRA LEONE"
"342","1998",0,1,0,0,724,"SIERRA LEONE"
"343","1998",1,0,0,0,936,"SLOVAKIA"
"344","1992",1,0,0,0,961,"SLOVENIA"
"345","2008",1,0,0,0,961,"SLOVENIA"
"349","1984",0,1,0,0,199,"SOUTH AFRICA"
"350","1985",0,0,1,0,199,"SOUTH AFRICA"
"351","1993",0,0,0,1,199,"SOUTH AFRICA"
"352","1977",1,0,0,0,184,"SPAIN"
"353","1983",0,1,0,0,184,"SPAIN"
"354","2008",1,0,0,0,184,"SPAIN"
"355","1989",1,0,0,0,524,"SRI LANKA"
"356","1978",0,1,0,0,524,"SRI LANKA"
"357","1981",0,1,0,0,732,"SUDAN"
"358","1985",0,0,0,1,732,"SUDAN"
"359","1988",0,1,0,0,732,"SUDAN"
"360","1994",0,1,0,0,732,"SUDAN"
"361","1979",0,0,1,0,732,"SUDAN"
"362","1990",0,1,0,0,366,"SURINAME"
"363","1995",0,1,0,0,366,"SURINAME"
"364","2001",0,1,0,0,366,"SURINAME"
"365","1985",0,1,0,0,734,"SWAZILAND"
"366","1995",1,0,0,0,734,"SWAZILAND"
"367","1991",1,0,0,0,144,"SWEDEN"
"368","1993",0,1,0,0,144,"SWEDEN"
"369","2008",1,0,0,0,144,"SWEDEN"
"370","2008",1,0,0,0,146,"SWITZERLAND"
"371","1988",0,1,0,0,463,"SYRIAN ARAB REPUBLIC"
"372","1999",0,1,0,0,923,"TAJIKISTAN"
"373","1984",0,0,1,0,738,"TANZANIA, UNITED REPUBLIC OF"
"374","1985",0,1,0,0,738,"TANZANIA, UNITED REPUBLIC OF"
"375","1987",1,0,0,0,738,"TANZANIA, UNITED REPUBLIC OF"
"376","1990",0,1,0,0,738,"TANZANIA, UNITED REPUBLIC OF"
"377","1992",0,0,0,1,738,"TANZANIA, UNITED REPUBLIC OF"
"378","1983",1,0,0,0,578,"THAILAND"
"379","1997",1,0,0,0,578,"THAILAND"
"380","1998",0,1,0,0,578,"THAILAND"
"381","1993",1,0,0,0,742,"TOGO"
"382","1994",0,1,0,0,742,"TOGO"
"383","1997",0,0,0,1,742,"TOGO"
"384","1979",0,0,1,0,742,"TOGO"
"385","1986",0,1,0,0,369,"TRINIDAD AND TOBAGO"
"386","1989",0,0,1,1,369,"TRINIDAD AND TOBAGO"
"387","1991",1,0,0,0,744,"TUNISIA"
"388","1982",1,0,0,1,186,"TURKEY"
"389","1984",0,1,0,0,186,"TURKEY"
"390","1991",0,1,0,0,186,"TURKEY"
"391","1996",0,1,0,0,186,"TURKEY"
"392","2000",1,0,0,0,186,"TURKEY"
"393","1978",0,1,1,0,186,"TURKEY"
"394","1993",0,1,0,0,925,"TURKMENISTAN"
"395","2008",0,1,0,0,925,"TURKMENISTAN"
