parl,newelecP,oldelecP,country,consolexpcentgov,consolrevcengov,expcengov,revcengov,expgengov,revgengov,cengovdefsur,consolgovdefsur,country_code,cashsurdefimf,cashsurdefwdi,cashsurdef_imf_gfs,cashsurdef_imf_gfs2,drazenbudbal,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Chile,Colombia,CostaRica,DomRep,Ecuador,ElSalvador,Guatemala,Mexico,Nicaragua,Panama,Peru,TrinTob,Uruguay,Venezuela,run620,growth,inflation,oldeleU,oldelecL,newelecL,dbud_bal_comb,newfloating,oldfloating,oldelecL_oldfloat,oldelecP_oldfloat,dcashsurdefimf,dcashsurdefwdi,ddrazenbudbal,dcashsurdef_imf_gfs2,dcashsurdef_imf_gfs,newelecL_newfloat,newelecP_newfloat,dcengovdefsur,dconsolgovdefsur,newinflation,newgrowth,newextdebtpercgni,newextdebt,year,fiscalresponsibilitylaw,newelecL_nfloat_fisresp
1,0,0,"Bahamas",,,,,,,-54.9,-33.9,2,-1.59,,-2.73,-9.74,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,-9.2,11.1,0,.5527778,.5604396,-3.791858,0,0,0,0,-1.34,,,-17.25,-4.35,0,0,-53.3,-52.8,11.1,-9.226405,0,,1981,0,0
1,0,0,"Bahamas",,,,,,,-63.2,-45.1,2,-5,,-3.11,-12.65,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6.7,6,0,.4472222,.4395604,-.4810588,0,0,0,0,-3.41,,,-2.91,-.3799999,0,0,-8.299999,-11.2,6,6.698898,0,,1982,0,0
1,0,0,"Bahamas",,,,,,,-75,-52.2,2,-6.14,,,-13.38,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3.6,4,0,0,0,-.1549606,0,0,0,0,-1.14,,,-.7300005,,0,0,-11.8,-7.100002,4,3.597051,0,,1983,0,0
1,0,0,"Bahamas",,,,,,,-7.6,14.4,2,-3.03,,,3.97,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14.2,4,0,0,0,3.717968,0,0,0,0,3.11,,,17.35,,0,0,67.4,66.6,4,14.17115,0,,1984,0,0
1,0,0,"Bahamas",,,,,,,-23.9,4.5,2,-1.13,,,1.06,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4.8,4.6,0,0,0,-.5115949,0,0,0,0,1.9,,,-2.91,,0,0,-16.3,-9.9,4.6,4.82918,0,,1985,0,0
1,0,0,"Bahamas",,,,,,,-40,-17.4,2,-.51,,,-3.71,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1.8,5.4,0,.5277778,.5357143,-.8976482,0,0,0,0,.62,,,-4.77,,0,0,-16.1,-21.9,5.4,1.797,0,,1986,0,0
1,0,0,"Bahamas",,,,,,,,,2,-.32,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,5.8,0,.4722222,.4642857,,0,0,0,0,.19,,,,,0,0,,,5.8,2.984519,0,,1987,0,0
1,0,0,"Bahamas",,,,,,,-77.6,-77.6,2,-1.75,,,-14.8,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,4.4,0,0,0,,0,0,0,0,-1.43,,,,,0,0,,,4.4,2.309708,0,,1988,0,0
1,0,0,"Bahamas",,,,,,,-121.2,-121.2,2,-3.74,,,-20.91,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,5.4,0,0,0,-1.316705,0,0,0,0,-1.99,,,-6.11,,0,0,-43.6,-43.6,5.4,2.300147,0,,1989,0,0
1,0,0,"Bahamas",,,,,,,-78.3,-78.3,2,-3.6,-1.9,,-13.57,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,4.7,0,0,0,1.549196,0,0,0,0,.1400001,,,7.34,,0,0,42.89999,42.89999,4.7,1.103403,0,,1990,0,0
1,0,0,"Bahamas",,,,,,,-116.5,-116.5,2,-3.1,-2.6,,-19.18,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-3,7.1,0,.3583333,.3671233,-1.283245,0,0,0,0,.5,-.6999999,,-5.610001,,0,0,-38.2,-38.2,7.1,-2.704368,0,,1991,0,0
1,0,0,"Bahamas",,,,,,,-81.8,-94,2,-3.43,-1.8,,-14.96,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-2,5.7,0,.6416667,.6328767,1.230957,0,0,0,0,-.3300002,.8,,4.22,,0,0,34.7,22.5,5.7,-1.996475,0,,1992,0,0
1,0,0,"Bahamas",,,,,,,-90.3,-86.5,2,-3.88,-1.5,,-14.52,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,2.7,0,0,0,-.160753,0,0,0,0,-.45,.3,,.4399996,,0,0,-8.5,7.5,2.7,1.900374,0,,1993,0,0
1,0,0,"Bahamas",,,,,,,-32.8,,2,-1.32,.1,,-5.1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,1.4,0,0,0,1.762523,0,0,0,0,2.56,1.6,,9.42,,0,0,57.5,,1.4,.2966985,0,,1994,0,0
1,0,0,"Bahamas",,,,,,,-12.9,,2,-1.8,.3,,-1.89,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,2.1,0,0,0,.5875801,0,0,0,0,-.4799999,.2,,3.21,,0,0,19.9,,2.1,.3,0,,1995,0,0
1,0,0,"Bahamas",,,,,,,-63.4,,2,,-.9,,-8.46,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,1.4,0,.7972222,.8021978,-1.310009,0,0,0,0,,-1.2,,-6.57,,0,0,-50.5,,1.4,4.2,0,,1996,0,0
1,0,0,"Bahamas",,,,,,,-135.29,,2,,-2.5,,-15.65,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,4,.5,0,.2027778,.1978022,-1.741354,0,0,0,0,,-1.6,,-7.19,,0,0,-71.88999,,.5,3.3,0,,1997,0,0
1,0,,"Bahamas",,,,,,,-81.3,,2,,-1.1,,-9.65,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,,,,,0,,0,,,,,1.4,,6,,0,0,53.98999,,1.3,3,0,,1998,0,0
1,0,,"Bahamas",,,,,,,-50.62,,2,,-.3,,-5.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,,,,,0,,0,,,,,.8,,4.15,,0,0,30.68,,1.3,5.9,0,,1999,0,0
1,0,,"Bahamas",,,,,,,-12.89,,2,,.4,,-1.36,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,,,,,0,,0,,,,,.7,,4.14,,0,0,37.73,,1.6,5,0,,2000,0,0
1,0,,"Bahamas",,,,,,,-103.6,,2,,-.7,,-10.12,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,,,,,.6675824,,0,,,,,-1.1,,-8.76,,0,0,-90.71,,2,-2,0,,2001,0,0
1,0,,"Bahamas",,,,,,,,,2,,-2.4,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,,,,,.3324176,,0,,,,,-1.7,,,,0,0,,,2.2,.7,0,,2002,0,0
1,0,,"Bahamas",,,,,,,,,2,,-3,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,,,,,0,,0,,,,,-.5999999,,,,0,0,,,3,,0,,2003,0,0
1,0,,"Bahamas",,,,,,,,,2,,-3.1,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,,,,0,,0,,,,,-.0999999,,,,0,0,,,1,,0,,2004,0,0
1,0,,"Bahamas",,,,,,,,,2,,-1.8,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,,,,,0,,,,,,,1.3,,,,,,,,1.6,,0,,2005,,
1,0,,"Bahamas",,,,,,,,,2,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,,,,,0,,,,,,,,,,,,,,,2.4,,0,,2006,,
1,,,"Barbados",,,,,,,,-58.5,3,-7.05,,-6.47,-20.26,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,-.1,5,,,.6712329,,0,0,,,,,,,,0,,,,5,-.0825284,0,,1976,0,0
1,,,"Barbados",,,,,,,,-62.8,3,-9.33,,-6.14,-19.04,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,4.4,8.4,,,0,,0,0,,,-2.28,,,1.219999,.3299999,0,,,-4.299999,8.4,4.37716,0,,1977,0,0
1,,,"Barbados",,,,,,,,-4.3,3,-3.22,,-.37,-1.29,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,6.1,9.5,,,0,,0,0,,,6.11,,,17.75,5.77,0,,,58.5,9.5,6.132133,0,,1978,0,0
1,,,"Barbados",,,,,,,,-20.9,3,-3.48,,-1.45,-5.25,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,7.7,13.2,,,0,,0,0,,,-.26,,,-3.96,-1.08,0,,,-16.6,13.2,7.666497,0,,1979,0,0
1,0,0,"Barbados",,,,,,,,-60.9,3,-5.18,,-3.43,-11.34,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,4.7,14.4,0,.5027778,.5384616,,0,0,0,0,-1.7,,,-6.09,-1.98,0,0,,-40,14.4,4.731687,0,,1980,0,0
1,0,0,"Barbados",,,,,,,,-128.8,3,-8.13,,-6.64,-20.07,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,-3.2,14.6,0,.4972222,.4615385,-3.243564,0,0,0,0,-2.95,,,-8.73,-3.21,0,0,,-67.9,14.6,-3.206615,0,,1981,0,0
1,0,0,"Barbados",,,,,,,,-76.1,3,-6.04,,-3.77,-11.73,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,-5,10.3,0,0,0,2.938454,0,0,0,0,2.09,,,8.34,2.87,0,0,,52.7,10.3,-5.009108,0,,1982,0,0
1,0,0,"Barbados",,,,,,,,-25.7,3,-3.53,,-1.19,-3.88,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,.2,5.2,0,0,0,2.607725,0,0,0,0,2.51,,,7.849999,2.58,0,0,,50.4,5.2,.1797737,0,,1983,0,0
1,0,0,"Barbados",,,,,,,,-91,3,-5.81,,-3.91,-12.02,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3.4,4.7,0,0,0,-2.735316,0,0,0,0,-2.28,,,-8.14,-2.72,0,0,,-65.3,4.7,3.361642,0,,1984,0,0
1,0,0,"Barbados",,,,,,,,-71.4,3,-5.69,,-2.89,-8.71,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,.5,3.9,0,.5888889,.5961539,.9889326,0,0,0,0,.1199999,,,3.31,1.02,0,0,,19.6,3.9,.5092593,0,,1985,0,0
1,0,0,"Barbados",,,,,,,,-79.7,3,-4.63,,-2.94,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,9.4,1.3,0,.4111111,.4038461,-.049315,0,0,0,0,1.06,,,,-.05,0,0,,-8.299995,1.3,9.431142,0,,1986,0,0
1,0,0,"Barbados",,,,,,,,-213.8,3,-10.65,,-7.22,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,3.3,0,0,0,-4.325655,0,0,0,0,-6.02,,,,-4.28,0,0,,-134.1,3.3,1.020727,0,,1987,0,0
1,0,0,"Barbados",,,,,,,,-88.7,3,-3.98,,-2.86,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,4,4.9,0,0,0,4.47572,0,0,0,0,6.67,,,,4.36,0,0,,125.1,4.9,6.25,0,,1988,0,0
1,0,0,"Barbados",,,,,,,,-32.8,3,-1.94,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,4,6.2,0,0,0,1.904951,0,0,0,0,2.04,,,,,0,0,,55.9,6.2,5.039216,0,,1989,0,0
1,0,0,"Barbados",,,,,,,,,3,-7.22,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-3,3.1,0,.9388889,.9423077,-6.542922,0,0,0,0,-5.28,,,,,0,0,,,3.1,-4.806792,0,,1990,0,0
1,0,0,"Barbados",,,,,,,,,3,-1.58,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,-4,6.3,0,.0611111,.0576923,5.6,0,0,0,0,5.64,,,,,0,0,,,6.3,-2.912053,0,,1991,0,0
1,0,0,"Barbados",,,,,,,,,3,-1.64,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,-6,6.1,0,0,0,-.6,0,0,0,0,-.0599999,,,,,0,0,,,6.1,-4.978796,0,,1992,0,0
1,0,0,"Barbados",,,,,,,,,3,-2.08,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,1.1,0,.3083333,.3186813,2.5,0,0,0,0,-.4399999,,,,,0,0,,,1.1,.9884188,0,,1993,0,0
1,0,0,"Barbados",,,,,,,,,3,-1.04,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,4,.1,0,.6916667,.6813187,-1.9,0,0,0,0,1.04,,,,,0,0,,,.1,3.974816,0,,1994,0,0
1,0,0,"Barbados",,,,,,,,,3,-.78,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3,1.9,0,0,0,2.8,0,0,0,0,.26,,,,,0,0,,,1.9,1.490133,0,,1995,0,0
